id;name_site;address_site;desc_site
1;invoice;payment THX;River
2;Accounts;quantifying initiatives Mexico;maroon Fantastic
3;red turquoise Account;secondary Berkshire hacking;Web
4;PCI;Cape up Licensed;Small
5;Northern Music up;rich users;Wisconsin Agent
6;Borders software Taka;Loan Extensions Salad;Human defect
7;Som world-class;Jewelery panel virtual;Dakota
8;Salad;Tuna Cheese Cambridgeshire;violet
9;Customizable COM;distributed Beauty mindshare;override maroon Fish
10;indexing bus Corporate;Wisconsin Seamless;Hat Frozen
